no,Moisture_value,Class
320,932,Adequate
321,932,Adequate
322,931,Adequate
323,932,Adequate
324,932,Adequate
325,932,Adequate
326,932,Adequate
327,932,Adequate
328,932,Adequate
329,932,Adequate
330,932,Adequate
331,932,Adequate
332,932,Adequate
333,933,Adequate
334,933,Adequate
335,933,Adequate
336,933,Adequate
337,933,Adequate
338,933,Adequate
339,934,Adequate
340,934,Adequate
341,934,Adequate
342,934,Adequate
343,934,Adequate
344,936,Adequate
345,934,Adequate
346,934,Adequate
347,934,Adequate
348,936,Adequate
349,934,Adequate
350,934,Adequate
351,936,Adequate
352,934,Adequate
353,936,Adequate
354,936,Adequate
355,936,Adequate
356,936,Adequate
357,936,Adequate
358,936,Adequate
359,936,Adequate
360,936,Adequate
361,936,Adequate
362,936,Adequate
363,936,Adequate
364,936,Adequate
365,934,Adequate
366,1024,Dry
367,859,Adequate
368,849,Adequate
369,846,Adequate
370,845,Adequate
371,843,Adequate
372,948,Adequate
373,954,Adequate
374,952,Adequate
375,952,Adequate
376,951,Adequate
377,951,Adequate
378,951,Adequate
379,950,Adequate
380,950,Adequate
381,950,Adequate
382,949,Adequate
383,948,Adequate
384,949,Adequate
385,946,Adequate
386,946,Adequate
387,946,Adequate
388,945,Adequate
389,946,Adequate
390,945,Adequate
391,945,Adequate
392,945,Adequate
393,943,Adequate
394,942,Adequate
395,941,Adequate
396,941,Adequate
397,941,Adequate
398,941,Adequate
399,941,Adequate
400,941,Adequate
401,941,Adequate
402,941,Adequate
403,940,Adequate
404,940,Adequate
405,940,Adequate
406,940,Adequate
407,1024,Dry
408,1024,Dry
409,897,Adequate
410,898,Adequate
411,897,Adequate
412,897,Adequate
413,897,Adequate
414,898,Adequate
415,898,Adequate
416,898,Adequate
417,902,Adequate
418,903,Adequate
419,905,Adequate
420,905,Adequate
421,904,Adequate
422,906,Adequate
423,905,Adequate
424,905,Adequate
425,906,Adequate
426,905,Adequate
427,906,Adequate
428,906,Adequate
429,900,Adequate
430,903,Adequate
431,964,Adequate
432,964,Adequate
433,1005,Dry
434,1003,Dry
435,1002,Dry
436,1001,Dry
437,1000,Adequate
438,1000,Adequate
439,1000,Adequate
440,999,Adequate
441,999,Adequate
442,1005,Dry
443,1005,Dry
444,1005,Dry
445,1005,Dry
446,1024,Dry
447,966,Adequate
448,972,Adequate
449,972,Adequate
450,972,Adequate
451,768,Adequate
452,795,Adequate
453,794,Adequate
454,793,Adequate
455,793,Adequate
456,794,Adequate
457,794,Adequate
458,794,Adequate
459,794,Adequate
460,794,Adequate
461,794,Adequate
462,794,Adequate
463,794,Adequate
464,795,Adequate
465,795,Adequate
466,796,Adequate
467,796,Adequate
468,848,Adequate
469,826,Adequate
470,826,Adequate
471,826,Adequate
472,824,Adequate
473,823,Adequate
474,820,Adequate
475,813,Adequate
476,812,Adequate
477,808,Adequate
478,814,Adequate
479,810,Adequate
480,798,Adequate
481,794,Adequate
482,790,Adequate
483,786,Adequate
484,783,Adequate
485,778,Adequate
486,776,Adequate
487,775,Adequate
488,773,Adequate
489,773,Adequate
490,770,Adequate
491,769,Adequate
492,768,Adequate
493,766,Adequate
494,765,Adequate
495,764,Adequate
496,762,Adequate
497,761,Adequate
498,760,Adequate
499,759,Adequate
500,759,Adequate
501,758,Adequate
502,757,Adequate
503,756,Adequate
504,754,Adequate
505,754,Adequate
506,753,Adequate
507,750,Adequate
508,750,Adequate
509,750,Adequate
510,749,Adequate
511,749,Adequate
512,748,Adequate
513,748,Adequate
514,748,Adequate
515,748,Adequate
516,747,Adequate
517,746,Adequate
518,745,Adequate
519,745,Adequate
520,744,Adequate
521,744,Adequate
522,744,Adequate
523,741,Adequate
524,741,Adequate
525,741,Adequate
526,741,Adequate
527,741,Adequate
528,741,Adequate
529,740,Adequate
530,740,Adequate
531,740,Adequate
532,740,Adequate
533,739,Adequate
534,739,Adequate
535,739,Adequate
536,739,Adequate
537,739,Adequate
538,739,Adequate
539,739,Adequate
540,739,Adequate
541,739,Adequate
542,739,Adequate
543,739,Adequate
544,739,Adequate
545,739,Adequate
546,739,Adequate
547,739,Adequate
548,739,Adequate
549,738,Adequate
550,363,Wet
551,391,Wet
552,404,Wet
553,412,Wet
554,725,Adequate
555,526,Adequate
556,534,Adequate
557,536,Adequate
558,536,Adequate
559,536,Adequate
560,537,Adequate
561,308,Wet
562,402,Wet
563,317,Wet
564,392,Wet
565,285,Wet
566,381,Wet
567,413,Wet
568,425,Wet
569,402,Wet
570,412,Wet
571,424,Wet
572,428,Wet
573,429,Wet
574,433,Wet
575,6,Wet
576,434,Wet
577,436,Wet
578,437,Wet
579,437,Wet
580,438,Wet
581,438,Wet
582,427,Wet
583,905,Adequate
584,321,Wet
585,313,Wet
586,413,Wet
587,440,Wet
588,397,Wet
589,415,Wet
590,416,Wet
591,416,Wet
592,546,Adequate
593,547,Adequate
594,237,Wet
595,328,Wet
596,343,Wet
597,405,Wet
598,325,Wet
599,433,Wet
600,447,Wet
601,277,Wet
602,384,Wet
603,356,Wet
604,248,Wet
605,310,Wet
606,441,Wet
607,449,Wet
608,450,Wet
609,451,Wet
610,454,Wet
611,456,Wet
612,457,Wet
613,459,Wet
614,459,Wet
615,459,Wet
616,459,Wet
617,458,Wet
618,459,Wet
619,457,Wet
620,457,Wet
621,457,Wet
622,457,Wet
623,457,Wet
624,457,Wet
625,457,Wet
626,457,Wet
627,457,Wet
628,456,Wet
629,456,Wet
630,456,Wet
631,456,Wet
632,456,Wet
633,456,Wet
634,456,Wet
635,456,Wet
636,454,Wet
637,454,Wet
638,454,Wet
639,454,Wet
640,454,Wet
641,454,Wet
642,454,Wet
643,454,Wet
644,453,Wet
645,453,Wet
646,453,Wet
647,452,Wet
648,452,Wet
649,452,Wet
650,452,Wet
651,452,Wet
652,451,Wet
653,451,Wet
654,452,Wet
655,452,Wet
656,451,Wet
657,451,Wet
658,451,Wet
659,451,Wet
660,451,Wet
661,451,Wet
662,451,Wet
663,451,Wet
664,451,Wet
665,451,Wet
666,451,Wet
667,451,Wet
668,451,Wet
669,451,Wet
670,451,Wet
671,451,Wet
672,451,Wet
673,451,Wet
674,446,Wet
675,442,Wet
676,442,Wet
677,441,Wet
678,441,Wet
679,440,Wet
680,440,Wet
681,440,Wet
682,440,Wet
683,439,Wet
684,439,Wet
685,439,Wet
686,439,Wet
687,438,Wet
688,438,Wet
689,438,Wet
690,438,Wet
691,437,Wet
692,437,Wet
693,437,Wet
694,437,Wet
695,437,Wet
696,437,Wet
697,437,Wet
698,437,Wet
699,437,Wet
700,437,Wet
701,437,Wet
702,436,Wet
703,436,Wet
704,436,Wet
705,436,Wet
706,436,Wet
707,435,Wet
708,435,Wet
709,434,Wet
710,434,Wet
711,434,Wet
712,434,Wet
713,434,Wet
714,434,Wet
715,434,Wet
716,434,Wet
717,496,Wet
718,266,Wet
719,296,Wet
720,321,Wet
721,344,Wet
722,361,Wet
723,369,Wet
724,375,Wet
725,378,Wet
726,380,Wet
727,382,Wet
728,386,Wet
729,387,Wet
730,388,Wet
731,389,Wet
732,390,Wet
733,391,Wet
734,392,Wet
735,392,Wet
736,393,Wet
737,394,Wet
738,394,Wet
739,396,Wet
740,397,Wet
741,397,Wet
742,649,Adequate
743,657,Adequate
744,579,Adequate
745,581,Adequate
746,582,Adequate
747,585,Adequate
748,586,Adequate
749,586,Adequate
750,588,Adequate
751,588,Adequate
752,588,Adequate
753,588,Adequate
754,589,Adequate
755,589,Adequate
756,588,Adequate
757,589,Adequate
758,589,Adequate
759,589,Adequate
760,296,Wet
761,415,Wet
762,438,Wet
763,441,Wet
764,446,Wet
765,447,Wet
766,448,Wet
767,448,Wet
768,450,Wet
769,452,Wet
770,662,Adequate
771,266,Wet
772,394,Wet
773,415,Wet
774,429,Wet
775,430,Wet
776,430,Wet
777,430,Wet
778,432,Wet
779,430,Wet
780,430,Wet
781,430,Wet
782,432,Wet
783,432,Wet
784,433,Wet
785,433,Wet
786,433,Wet
787,433,Wet
788,433,Wet
789,433,Wet
790,433,Wet
791,433,Wet
792,433,Wet
793,433,Wet
794,432,Wet
795,432,Wet
796,567,Adequate
797,568,Adequate
798,605,Adequate
799,355,Wet
800,344,Wet
801,355,Wet
802,390,Wet
803,402,Wet
804,408,Wet
805,413,Wet
806,415,Wet
807,416,Wet
808,417,Wet
809,422,Wet
810,424,Wet
811,426,Wet
812,427,Wet
813,427,Wet
814,427,Wet
815,427,Wet
816,469,Wet
817,469,Wet
818,450,Wet
819,451,Wet
820,461,Wet
821,513,Adequate
822,543,Adequate
823,543,Adequate
824,542,Adequate
825,541,Adequate
826,538,Adequate
827,538,Adequate
828,538,Adequate
829,537,Adequate
830,785,Adequate
831,783,Adequate
832,700,Adequate
833,497,Wet
834,508,Adequate
835,511,Adequate
836,513,Adequate
837,549,Adequate
838,1024,Dry
839,794,Adequate
840,818,Adequate
841,818,Adequate
842,818,Adequate
843,820,Adequate
844,820,Adequate
845,820,Adequate
846,821,Adequate
847,821,Adequate
848,821,Adequate
849,821,Adequate
850,821,Adequate
851,821,Adequate
852,822,Adequate
853,821,Adequate
854,822,Adequate
855,822,Adequate
856,822,Adequate
857,822,Adequate
858,822,Adequate
859,822,Adequate
860,822,Adequate
861,822,Adequate
862,1024,Dry
863,1024,Dry
864,834,Adequate
865,1024,Dry
866,214,Wet
867,249,Wet
868,268,Wet
869,328,Wet
870,267,Wet
871,292,Wet
872,850,Adequate
873,846,Adequate
874,842,Adequate
875,841,Adequate
876,840,Adequate
877,838,Adequate
878,5,Wet
879,834,Adequate
880,317,Wet
881,288,Wet
882,300,Wet
883,313,Wet
884,267,Wet
885,339,Wet
886,456,Wet
887,249,Wet
888,290,Wet
889,317,Wet
890,278,Wet
891,308,Wet
892,315,Wet
893,267,Wet
894,392,Wet
895,261,Wet
896,280,Wet
897,301,Wet
898,325,Wet
899,332,Wet
900,306,Wet
901,315,Wet
902,329,Wet
903,334,Wet
904,331,Wet
905,334,Wet
906,272,Wet
907,266,Wet
908,256,Wet
909,257,Wet
910,247,Wet
911,397,Wet
912,337,Wet
913,340,Wet
914,312,Wet
915,310,Wet
916,310,Wet
917,315,Wet
918,313,Wet
919,339,Wet
920,297,Wet
921,288,Wet
922,259,Wet
923,230,Wet
924,233,Wet
925,236,Wet
926,237,Wet
927,240,Wet
928,244,Wet
929,242,Wet
930,291,Wet
931,281,Wet
932,283,Wet
933,291,Wet
934,294,Wet
935,290,Wet
936,316,Wet
937,368,Wet
938,360,Wet
939,306,Wet
940,334,Wet
941,355,Wet
942,413,Wet
943,440,Wet
944,334,Wet
945,309,Wet
946,307,Wet
947,307,Wet
948,307,Wet
949,307,Wet
950,303,Wet
951,307,Wet
952,307,Wet
953,209,Wet
954,209,Wet
955,207,Wet
956,208,Wet
957,188,Wet
958,195,Wet
959,196,Wet
960,195,Wet
961,196,Wet
962,197,Wet
963,197,Wet
964,199,Wet
965,199,Wet
966,198,Wet
967,200,Wet
968,209,Wet
969,214,Wet
970,310,Wet
971,277,Wet
972,282,Wet
973,282,Wet
974,297,Wet
975,297,Wet
976,297,Wet
977,199,Wet
978,201,Wet
979,320,Wet
980,256,Wet
981,256,Wet
982,255,Wet
983,255,Wet
984,255,Wet
985,255,Wet
986,209,Wet
987,214,Wet
988,218,Wet
989,221,Wet
990,223,Wet
991,224,Wet
992,224,Wet
993,225,Wet
994,225,Wet
995,225,Wet
996,226,Wet
997,226,Wet
998,226,Wet
999,226,Wet
1000,226,Wet
1001,226,Wet
1002,226,Wet
1003,228,Wet
1004,226,Wet
1005,228,Wet
1006,228,Wet
1007,261,Wet
1008,262,Wet
1009,262,Wet
1010,264,Wet
1011,264,Wet
1012,264,Wet
1013,264,Wet
1014,264,Wet
1015,264,Wet
1016,264,Wet
1017,249,Wet
1018,253,Wet
1019,254,Wet
1020,254,Wet
1021,254,Wet
1022,254,Wet
1023,255,Wet
1024,255,Wet
1025,255,Wet
1026,255,Wet
1027,255,Wet
1028,278,Wet
1029,264,Wet
1030,298,Wet
1031,302,Wet
1032,293,Wet
1033,292,Wet
1034,292,Wet
1035,291,Wet
1036,300,Wet
1037,298,Wet
1038,298,Wet
1039,298,Wet
1040,298,Wet
1041,297,Wet
1042,298,Wet
1043,298,Wet
1044,298,Wet
1045,297,Wet
1046,297,Wet
1047,298,Wet
1048,298,Wet
1049,298,Wet
1050,298,Wet
1051,297,Wet
1052,297,Wet
1053,297,Wet
1054,296,Wet
1055,297,Wet
1056,297,Wet
1057,297,Wet
1058,297,Wet
1059,297,Wet
1060,297,Wet
1061,296,Wet
1062,296,Wet
1063,296,Wet
1064,296,Wet
1065,296,Wet
1066,296,Wet
1067,296,Wet
1068,296,Wet
1069,296,Wet
1070,296,Wet
1071,296,Wet
1072,296,Wet
1073,296,Wet
1074,296,Wet
1075,296,Wet
1076,296,Wet
1077,297,Wet
1078,300,Wet
1079,202,Wet
1080,297,Wet
1081,297,Wet
1082,297,Wet
1083,391,Wet
1084,297,Wet
1085,297,Wet
1086,297,Wet
1087,297,Wet
1088,209,Wet
1089,220,Wet
1090,256,Wet
1091,229,Wet
1092,291,Wet
1093,293,Wet
1094,293,Wet
1095,293,Wet
1096,293,Wet
1097,293,Wet
1098,293,Wet
1099,293,Wet
1100,293,Wet
1101,293,Wet
1102,293,Wet
1103,293,Wet
1104,296,Wet
1105,296,Wet
1106,296,Wet
1107,300,Wet
1108,301,Wet
1109,307,Wet
1110,309,Wet
1111,310,Wet
1112,309,Wet
1113,316,Wet
1114,310,Wet
1115,310,Wet
1116,312,Wet
1117,313,Wet
1118,312,Wet
1119,312,Wet
1120,312,Wet
1121,310,Wet
1122,310,Wet
1123,309,Wet
1124,309,Wet
1125,309,Wet
1126,309,Wet
1127,309,Wet
1128,309,Wet
1129,308,Wet
