Moisture_value,PH,Temperature,Class
310,6.35,22.6,1
317,5.31,22.6,1
313,6.53,22.6,1
1024,6.41,22.6,1
1024,6.32,22.6,1
1024,6.3,22.6,1
1024,5.84,22.6,1
1024,5.61,22.6,1
1024,6.41,22.6,1
1024,5.51,22.7,1
1024,5.43,22.7,1
1024,6.09,22.6,1
1024,5.45,22.6,1
1024,5.74,22.7,1
1024,5.89,22.6,1
1024,6.24,22.6,1
1024,6.15,22.6,1
1024,5.13,22.6,1
1024,5.88,22.6,1
1024,5.97,22.6,1
1024,6.35,22.6,1
1024,6.23,22.6,1
1024,6.13,22.6,1
1024,5.66,22.6,1
1024,5.95,22.6,1
1024,5.73,22.6,1
1024,5.91,22.6,1
1024,6.4,22.6,1
1024,5.96,22.6,1
1024,5.5,22.6,1
1024,5.02,22.6,1
1024,5.43,22.6,1
1024,5.42,22.6,1
1024,5.38,22.6,1
1024,5.38,22.6,1
1024,5.23,22.6,1
1024,5.04,22.6,1
1024,5.2,22.6,1
1024,5.5,22.6,1
1024,5.08,22.6,1
1024,5.58,22.6,1
1024,5.38,22.6,1
1024,5.45,22.6,1
1024,5.01,22.6,1
1024,5.47,22.6,1
1024,5.75,22.6,1
1024,5.28,22.6,1
1024,5.41,22.6,1
1024,5.34,22.6,1
1024,5.58,22.6,1
1024,5.24,22.6,1
1024,5.39,22.6,1
1024,5.58,22.6,1
1024,4.87,22.6,1
1024,5.56,22.5,1
1024,5.06,22.6,1
1024,5.38,22.6,1
1024,5.52,22.5,1
1024,5.2,22.5,1
1024,5.35,22.6,1
1024,4.98,22.5,1
1024,5.52,22.6,1
1024,5.14,22.5,1
1024,5.33,22.6,1
1024,5.52,22.6,1
1024,5.14,22.6,1
1024,5.55,22.6,1
1024,6.13,22.5,1
1024,5.45,22.5,1
1024,5.62,22.6,1
1024,5.23,22.6,1
1024,6.52,22.5,1
1024,6.4,22.6,1
1024,6.71,22.5,1
1024,5.85,22.5,1
1024,6.69,22.5,1
1024,6.49,22.5,1
1024,6.77,22.5,1
1024,6.24,22.5,1
1024,6.57,22.5,1
1024,6.73,22.5,1
1024,6.81,22.5,1
1024,6.57,22.5,1
1024,6.48,22.5,1
1024,6.62,22.5,1
1024,6.64,22.5,1
1024,6.58,22.5,1
1024,6.69,22.5,1
1024,6.31,22.5,1
1024,6.27,22.6,1
1024,6.75,22.5,1
1024,6.21,22.5,1
1024,6.48,22.5,1
1024,6.47,22.5,1
1024,6.01,22.5,1
1024,6.76,22.5,1
1024,6.59,22.5,1
1024,6.15,22.5,1
1024,6.5,22.5,1
1024,6.4,22.5,1
1024,6.33,22.5,1
1024,6.64,22.5,1
1024,6.56,22.5,1
1024,6.03,22.5,1
1024,6.21,22.5,1
1024,6.5,22.5,1
1024,6.57,22.5,1
1024,6.6,22.5,1
1024,6.62,22.5,1
1024,5.7,22.5,1
1024,6.77,22.5,1
1024,6.7,22.5,1
1024,6.34,22.5,1
1024,6.63,22.5,1
813,6.6,22.5,1
828,6.41,22.5,1
826,6.44,22.5,1
829,6.57,22.5,1
829,6.69,22.5,1
829,5.58,22.5,1
830,6.33,22.5,1
831,6.51,22.5,1
832,6.65,22.5,1
832,6.22,22.5,1
834,6.43,22.4,1
834,6.81,22.5,1
834,6.37,22.5,1
1024,6.4,22.5,1
951,6.32,22.5,1
950,6.83,22.5,1
952,5.66,22.4,1
953,6.9,22.5,1
953,6.87,22.4,1
953,6.81,22.5,1
952,6.06,22.4,1
953,6.56,22.5,1
953,6.46,22.5,1
952,5.42,22.4,1
953,6.51,22.4,1
952,6.33,22.4,1
952,6.22,22.4,1
952,5.81,22.5,1
951,6.31,22.5,1
952,6.44,22.4,1
951,6.57,22.4,1
951,6.29,22.4,1
951,6.32,22.4,1
952,6.47,22.4,1
952,6.56,22.4,1
952,6.71,22.4,1
952,6.51,22.4,1
952,6.39,22.4,1
952,6,22.4,1
952,6.38,22.4,1
952,6.62,22.4,1
952,6.83,22.4,1
952,6.68,22.5,1
952,6.53,22.5,1
952,6.61,22.4,1
952,6.63,22.4,1
952,5.38,22.5,1
952,6,22.4,1
953,6.43,22.4,1
952,6.65,22.4,1
953,6.69,22.4,1
953,6.35,22.4,1
953,6.23,22.4,1
952,6.56,22.4,1
953,6.65,22.5,1
954,6.09,22.4,1
953,6.62,22.4,1
953,6.33,22.4,1
953,6.43,22.4,1
953,6.31,22.4,1
953,6.48,22.4,1
952,5.9,22.4,1
953,6.26,22.4,1
953,6.27,22.4,1
953,6.53,22.4,1
953,6.6,22.4,1
953,6.61,22.4,1
953,6.63,22.5,1
1017,6.42,22.4,1
990,6.63,22.4,1
989,6.14,22.4,1
908,5.92,22.4,1
908,6.31,22.4,1
906,6.37,22.4,1
905,6.06,22.4,1
905,6.29,22.4,1
903,5.88,22.4,1
903,6.67,22.4,1
903,6.3,22.4,1
902,6.29,22.4,1
903,6.32,22.4,1
903,6.53,22.5,1
903,6.32,22.5,1
903,5.45,22.4,1
903,6.43,22.4,1
904,6.58,22.4,1
905,5.53,22.4,1
905,6.41,22.4,1
1024,6.45,22.4,1
772,6.46,22.4,1
769,6.42,22.4,1
769,6.54,22.4,1
769,6.01,22.4,1
770,6.05,22.4,1
320,6.68,22.4,1
321,6.48,22.4,1
321,6.16,22.5,1
321,6.49,22.4,1
322,5.57,22.4,1
322,6.52,22.4,1
324,6.06,22.4,1
327,6.49,22.4,1
325,6.5,22.4,1
325,6.62,22.4,1
326,5.84,22.4,1
326,6.5,22.5,1
327,6.24,22.5,1
1021,6.33,22.4,1
1021,6,22.5,1
1022,6.47,22.4,1
1023,6.46,22.4,1
1023,6.4,22.4,1
1023,6.29,22.5,1
1023,5.61,22.5,1
1023,6.31,22.4,1
1023,5.82,22.4,1
1024,6.59,22.4,1
1023,6.17,22.5,1
1023,6.48,22.5,1
1024,6.43,22.5,1
1024,6.04,22.5,1
1024,6.2,22.5,1
1024,6.6,22.4,1
1024,5.99,22.5,1
1024,5.84,22.5,1
1024,6.42,22.5,1
1024,6.01,22.5,1
1024,6.08,22.5,1
1024,6.07,22.5,1
1024,5.61,22.5,1
1024,6.6,22.5,1
1024,6.11,22.5,1
1024,6.02,22.5,1
1024,5.97,22.5,1
1024,6.33,22.5,1
1024,5.95,22.5,1
1024,5.27,22.5,1
1024,5.97,22.5,1
1024,5.77,22.4,1
1024,5.91,22.5,1
1024,6.28,22.5,1
1024,6.03,22.5,1
1024,6.32,22.5,1
1024,6.18,22.5,1
1024,6.36,24.3,1
725,6.03,24.4,1
720,5.58,24.4,1
716,6.2,24.4,1
710,6.45,24.3,1
710,6.75,24.4,1
716,6.28,24.4,1
708,6.33,24.4,1
705,6.28,24.4,1
703,5.76,24.4,1
702,5.67,24.4,1
706,6.21,22.8,1
705,6.46,22.6,1
703,6.33,22.8,1
702,5.96,22.7,1
702,6.02,22.9,1
702,5.75,22.9,1
701,6.23,22.9,1
699,6.57,22.9,1
697,6.56,22.9,1
696,6.53,22.9,1
697,5.47,22.9,1
696,6.53,23,1
694,6.11,22.9,1
696,6.68,22.8,1
696,5.94,22.8,1
694,5.9,22.8,1
694,6.03,22.8,1
694,5.99,22.8,1
694,6.6,22.8,1
694,6,22.8,1
694,6.41,22.8,1
694,6.25,22.8,1
696,6.46,22.8,1
696,6.8,22.8,1
694,6.29,22.8,1
697,6.38,22.8,1
696,6.29,22.8,1
697,6.52,22.8,1
697,6.73,22.8,1
697,6.08,22.8,1
697,5.89,22.8,1
700,6.04,22.8,1
701,5.42,22.8,1
700,5.53,22.8,1
700,6.43,22.8,1
697,6.68,22.8,1
696,6.28,22.8,1
696,5.74,22.8,1
693,6.53,22.8,1
693,6.39,22.8,1
694,6.4,22.8,1
696,6.55,22.8,1
694,6.26,22.8,1
694,6.12,22.8,1
694,6.2,22.9,1
696,6.57,22.9,1
693,6.62,22.9,1
692,6.09,22.9,1
692,6.49,22.8,1
693,5.84,22.9,1
694,6.67,22.9,1
694,6.65,22.8,1
682,5.69,22.8,1
685,6.56,22.8,1
682,6.47,22.8,1
684,6.52,22.8,1
684,6.62,22.8,1
682,6.46,22.8,1
681,5.84,22.8,1
681,6.61,22.8,1
681,6.49,22.8,1
682,6.6,22.8,1
677,6.54,22.8,1
675,6.52,22.8,1
675,6.24,22.9,1
674,5.98,22.9,1
674,6.35,22.9,1
674,6.22,22.9,1
674,6.27,22.8,1
674,6.55,22.9,1
673,6.13,22.9,1
673,6.48,22.9,1
673,6.59,22.9,1
673,6.08,22.9,1
672,6.49,22.9,1
672,5.68,22.9,1
672,6.56,22.9,1
673,6.39,22.8,1
673,6.59,22.9,1
672,6.19,22.8,1
672,6.28,22.8,1
672,6.37,22.9,1
672,6.32,22.8,1
672,6.56,22.9,1
672,6.44,22.8,1
670,6.58,22.8,1
670,6.66,22.8,1
669,6.39,22.9,1
669,6.35,22.8,1
668,6.52,22.9,1
668,6.46,22.8,1
667,6.55,22.8,1
667,6.46,22.8,1
667,6.47,22.8,1
666,6.55,22.8,1
666,6.55,22.8,1
666,6.39,22.8,1
666,5.92,22.8,1
666,6.56,22.8,1
665,5.69,22.8,1
665,6.42,22.8,1
663,6.46,22.8,1
664,6.33,22.8,1
664,6.32,22.8,1
664,6.49,22.8,1
663,5.87,22.8,1
664,6.61,22.8,1
663,6.47,22.8,1
663,6.42,22.8,1
557,6.51,22.8,1
573,6.74,22.8,1
570,6.3,22.8,1
568,6.62,22.8,1
567,6.55,22.8,1
564,6.54,22.7,1
562,6.06,22.7,1
561,6.23,22.7,1
561,6.67,22.7,1
560,6.52,22.7,1
559,6.47,22.7,1
557,6.47,22.7,1
557,6.49,22.7,1
557,6.5,22.7,1
557,6.32,22.7,1
556,6.59,22.7,1
556,6.39,22.7,1
555,6.42,22.7,1
555,6.55,22.7,1
555,6.34,22.7,1
555,6.64,22.7,1
555,5.72,22.7,1
555,6.49,22.7,1
680,6.41,22.7,1
677,6.44,22.7,1
676,6.37,22.7,1
676,6.33,22.7,1
677,6.38,22.7,1
678,6.47,22.7,1
677,6.34,22.7,1
676,6.34,22.7,1
676,6.24,22.7,1
676,6.61,22.7,1
676,6.57,22.7,1
677,6.26,22.7,1
676,6.36,22.7,1
676,6.05,22.7,1
677,5.97,22.7,1
677,6.49,22.7,1
677,6.27,22.7,1
678,6.57,22.7,1
677,6.73,22.7,1
676,6.53,22.7,1
676,6.64,22.7,1
676,6.32,22.7,1
676,5.69,22.7,1
676,6.7,22.7,1
415,6.22,22.7,1
442,6.48,22.7,1
447,6.06,22.7,1
447,6.35,22.7,1
447,6.23,22.7,1
447,6.45,22.7,1
446,6.39,22.7,1
446,6.65,22.7,1
445,6.25,22.7,1
442,6.2,22.7,1
442,6.39,22.7,1
441,6.64,22.7,1
441,6.49,22.7,1
440,6.17,22.7,1
440,6.2,22.7,1
439,6.64,22.7,1
439,6.55,22.7,1
439,6.68,22.7,1
437,6.28,22.7,1
437,6.46,22.6,1
436,6.69,22.6,1
436,6.5,22.7,1
436,6.46,22.7,1
434,6.56,22.6,1
434,6.65,22.6,1
433,6.75,22.7,1
433,6.84,22.6,1
433,6.67,22.6,1
433,6.46,22.6,1
432,6.46,22.6,1
432,6.6,22.6,1
541,6.43,22.6,1
543,6.56,22.6,1
542,5.25,22.6,1
542,6.51,22.6,1
543,5.41,22.6,1
543,6.67,22.6,1
543,6.71,22.6,1
543,6.63,22.6,1
543,6.48,22.6,1
543,5.76,22.6,1
543,6.58,22.6,1
544,6.52,22.6,1
544,6.51,22.6,1
544,6.62,22.6,1
544,6.41,22.6,1
545,6.52,22.6,1
545,6.05,22.6,1
545,6.62,22.6,1
545,6.47,22.6,1
545,6.46,22.6,1
545,6.71,22.6,1
545,6.55,22.6,1
546,6.38,22.6,1
546,5.57,22.7,1
546,6.15,22.7,1
546,6.32,22.6,1
546,6.48,22.6,1
546,6.51,22.7,1
546,6.45,22.6,1
546,6.44,22.6,1
546,6.29,22.6,1
546,6.37,22.6,1
546,6.52,22.6,1
546,6.36,22.6,1
546,6.09,22.6,1
547,5.68,22.6,1
547,6.29,22.6,1
547,6.21,22.6,1
547,6.63,22.6,1
547,6.14,22.6,1
547,6.02,22.6,1
547,6.4,22.6,1
547,6.31,22.6,1
547,6.33,22.6,1
547,6.11,22.6,1
547,5.98,22.6,1
547,6.36,22.6,1
547,6.13,22.6,1
547,6.39,22.6,1
547,6.26,22.6,1
547,6.26,22.6,1
547,6.24,22.6,1
547,6.36,22.6,1
547,5.61,22.6,1
547,6.33,22.6,1
547,6.57,22.6,1
547,6.06,22.6,1
547,6.03,22.6,1
547,6.47,22.6,1
547,6.58,22.6,1
547,6.31,22.6,1
547,6.38,22.6,1
547,6.47,22.6,1
547,6.57,22.6,1
547,6.5,22.6,1
547,6.12,22.6,1
547,6.41,22.6,1
547,6.5,22.6,1
547,6.68,22.5,1
547,6.06,22.6,1
547,5.97,22.6,1
548,6.57,22.5,1
549,6.65,22.5,1
549,6.45,22.6,1
547,6.74,22.5,1
548,6.38,22.6,1
548,6.61,22.5,1
548,6.56,22.6,1
548,5.84,22.6,1
549,5.69,22.6,1
548,6.69,22.6,1
549,6.65,22.5,1
549,6.6,22.5,1
549,6.69,22.6,1
549,6.45,22.6,1
549,6.49,22.5,1
549,6.16,22.6,1
549,5.7,22.5,1
549,6.6,22.5,1
549,5.88,22.5,1
549,6.47,22.5,1
549,6.57,22.5,1
548,6.57,22.5,1
548,6.6,22.5,1
549,6.31,22.5,1
548,6.63,22.5,1
548,6.47,22.5,1
548,6.78,22.5,1
549,6.25,22.5,1
549,6.49,22.5,1
549,6.78,22.5,1
549,6.44,22.5,1
548,6.57,22.5,1
548,6.13,22.6,1
689,6.33,22.5,1
691,6.45,22.5,1
691,6.72,22.5,1
692,6.31,22.5,1
692,6.54,22.5,1
693,6.57,22.5,1
694,6.73,22.5,1
694,6.47,22.5,1
694,5.39,22.5,1
694,6.36,22.5,1
694,6.59,22.5,1
696,6.38,22.5,1
696,6.1,22.5,1
696,6.27,22.5,1
696,6.11,22.5,1
689,6.44,22.5,1
689,6.01,22.5,1
689,6.04,22.5,1
689,6.31,22.5,1
689,6.23,22.5,1
689,5.69,22.5,1
689,6.69,22.5,1
689,6.25,22.5,1
690,6.35,22.5,1
689,6.54,22.5,1
689,6.25,22.5,1
690,6.09,22.5,1
690,6.06,22.5,1
690,6.07,22.5,1
690,5.92,22.5,1
690,6.52,22.5,1
691,6.5,22.5,1
691,6.08,22.5,1
690,6.69,22.5,1
691,6.41,22.4,1
691,6.32,22.5,1
710,5.58,22.5,1
718,6.49,22.5,1
720,6.4,22.5,1
721,6.4,22.5,1
721,5.97,22.4,1
721,5.98,22.5,1
721,6.3,22.4,1
721,6,22.5,1
722,6.44,22.4,1
722,6.39,22.5,1
722,6.28,22.5,1
722,6.43,22.4,1
722,6.71,22.4,1
722,6.22,22.4,1
723,5.75,22.4,1
722,6.35,22.5,1
725,6.29,22.5,1
724,6.44,22.4,1
725,5.68,22.4,1
724,6,22.4,1
724,6.57,22.4,1
725,6.46,22.4,1
725,5.62,22.4,1
725,6.13,22.4,1
725,5.89,22.4,1
725,6.17,22.4,1
725,6.44,22.4,1
725,5.29,22.4,1
726,6.05,22.4,1
726,6.19,22.4,1
725,6.63,22.5,1
726,6.25,22.5,1
726,5.57,22.4,1
726,6.05,22.4,1
726,6.29,22.5,1
726,6.16,22.4,1
726,6.33,22.4,1
726,6.11,22.4,1
726,6.02,22.4,1
726,5.87,22.4,1
726,5.91,22.4,1
726,6.28,22.4,1
726,6.21,22.5,1
726,5.89,22.4,1
726,6.44,22.4,1
726,6.26,22.4,1
726,6.43,22.4,1
726,6.57,22.4,1
727,5.77,22.4,1
727,6.14,22.4,1
726,6.13,22.4,1
727,6.32,22.4,1
727,6.09,22.4,1
727,6.18,22.4,1
727,5.42,22.4,1
727,6.52,22.5,1
727,6.25,22.4,1
729,5.87,22.4,1
729,5.98,22.4,1
728,6.22,22.4,1
727,6.36,22.4,1
728,6.16,22.4,1
728,6.6,22.4,1
728,6.44,22.4,1
728,6.15,22.4,1
728,6.04,22.4,1
728,6.8,22.4,1
730,6.47,22.4,1
730,6.75,22.4,1
732,6.5,22.5,1
732,6.69,22.5,1
733,6.47,22.4,1
732,6.43,22.4,1
734,6.25,22.4,1
734,6.38,22.4,1
734,6.63,22.4,1
734,6.6,22.4,1
734,6.66,22.4,1
734,6.77,22.4,1
735,6.65,22.4,1
735,6.4,22.4,1
735,6.52,22.4,1
735,6.5,22.4,1
736,6.22,22.4,1
736,6.44,22.5,1
736,6.65,22.4,1
736,6.57,22.4,1
736,6.74,22.4,1
736,6.62,22.4,1
736,6.78,22.4,1
736,5.67,22.4,1
736,6.42,22.4,1
737,6.6,22.4,1
737,5.4,22.5,1
738,6.35,22.5,1
738,6.38,22.4,1
738,6.55,22.5,1
738,6.67,22.4,1
738,6.25,22.4,1
738,6.75,22.4,1
738,6.64,22.5,1
738,6.64,22.5,1
738,5.85,22.4,1
738,6.6,22.4,1
739,6.35,22.4,1
739,6.47,22.5,1
739,6,22.5,1
739,5.83,22.5,1
739,5.33,22.5,1
739,6.53,22.5,1
739,6.8,22.4,1
739,6.53,22.5,1
739,6.33,22.5,1
739,6.45,22.5,1
739,6.6,22.5,1
739,6.6,22.5,1
739,6.45,22.5,1
740,6.35,22.5,1
739,6.35,22.5,1
740,6.35,22.5,1
740,6.15,22.5,1
740,6.53,22.5,1
740,6.4,22.5,1
740,5.95,22.5,1
740,6.4,22.5,1
740,6.1,22.5,1
740,6.45,22.4,1
740,6.5,22.5,1
740,6.55,22.5,1
740,6.55,22.5,1
740,6.58,22.5,1
740,6.58,22.5,1
740,6.54,24.3,1
740,6.4,24.4,1
740,6.4,24.4,1
741,6.45,24.4,1
740,6.2,24.3,1
740,6.33,24.4,1
741,6.6,24.4,1
741,6.15,24.4,1
741,6.45,24.4,1
741,6.45,24.4,1
741,6.47,24.4,1
741,6.4,22.8,1
741,6.28,22.6,1
741,6.58,22.8,1
741,6.5,22.7,1
769,6.5,22.9,1
769,6.53,22.9,1
769,6.55,22.9,1
870,5.8,22.9,1
867,5.97,22.9,1
868,6.45,22.9,1
868,5.65,22.9,1
869,6.25,23,1
869,6.53,22.9,1
869,6.28,22.8,1
869,5.28,22.8,1
869,6.67,22.8,1
870,6.53,22.8,1
870,6.05,22.8,1
870,6.2,22.8,1
870,6.46,22.8,1
870,6.62,22.8,1
871,6.48,22.8,1
870,6.74,22.8,1
871,6.21,22.8,1
870,6.5,22.8,1
871,6.66,22.8,1
871,6.52,22.8,1
871,6.07,22.8,1
871,6.64,22.8,1
871,5.69,22.8,1
871,5.11,22.8,1
872,6.46,22.8,1
872,6.88,22.8,1
873,5.01,22.8,1
872,6.48,22.8,1
872,6.52,22.8,1
872,6.53,22.8,1
873,4.7,22.8,1
873,6.58,22.8,1
873,6.56,22.8,1
873,6.51,22.8,1
873,6.4,22.8,1
871,5.41,22.8,1
871,5.8,22.8,1
872,6.07,22.9,1
873,4.9,22.9,1
873,6.28,22.9,1
872,6.48,22.9,1
871,6.34,22.8,1
872,6.78,22.9,1
873,5.1,22.9,1
873,6.63,22.8,1
873,6.33,22.8,1
873,6.74,22.8,1
873,6.38,22.8,1
873,5.8,22.8,1
404,6.27,22.8,1
442,6.98,22.8,1
464,6,22.8,1
471,6.12,22.8,1
475,5.8,22.8,1
471,5.97,22.8,1
470,6.12,22.8,1
463,6.26,22.8,1
483,6.46,22.9,1
470,5.5,22.9,1
461,6.8,22.9,1
460,5.7,22.9,1
459,5.01,22.8,1
458,6.18,22.9,1
457,6.22,22.9,1
457,6.27,22.9,1
456,6.56,22.9,1
456,6.02,22.9,1
456,5.7,22.9,1
454,4.8,22.9,1
454,6.45,22.9,1
454,6.27,22.8,1
452,6.59,22.9,1
452,6.5,22.8,1
452,5.97,22.8,1
451,6.27,22.9,1
451,6.71,22.8,1
450,5.7,22.9,1
450,5.88,22.8,1
450,6.24,22.8,1
450,6.57,22.8,1
450,6.58,22.9,1
449,6.15,22.8,1
449,6.35,22.9,1
449,6.48,22.8,1
448,6.08,22.8,1
448,6.15,22.8,1
448,6.32,22.8,1
448,6.47,22.8,1
447,5,22.8,1
447,6.62,22.8,1
447,6.42,22.8,1
447,6.46,22.8,1
446,5,22.8,1
446,5.4,22.8,1
446,6.55,22.8,1
446,6.87,22.8,1
445,6.22,22.8,1
444,6.51,22.8,1
442,6.6,22.8,1
442,5.9,22.8,1
442,6.37,22.8,1
441,5.7,22.8,1
441,6.13,22.8,1
441,6.89,22.8,1
441,6.4,22.8,1
440,6.17,22.8,1
440,6.57,22.8,1
440,6.48,22.7,1
440,6.29,22.7,1
440,5.7,22.7,1
439,6.33,22.7,1
509,6.49,22.7,1
658,6.34,22.7,1
653,6.25,22.7,1
654,6.39,22.7,1
656,6.4,22.7,1
657,6.41,22.7,1
661,6.4,22.7,1
663,5.4,22.7,1
665,6.3,22.7,1
666,6.43,22.7,1
666,6.1,22.7,1
666,6.5,22.7,1
666,6.1,22.7,1
667,6.73,22.7,1
667,6.7,22.7,1
666,5.1,22.7,1
666,6.2,22.7,1
667,6.2,22.7,1
667,5.3,22.7,1
667,6.5,22.7,1
668,5.67,22.7,1
668,4.9,22.7,1
667,5.93,22.7,1
668,6.2,22.7,1
668,6.3,22.7,1
669,6.2,22.7,1
670,6.2,22.7,1
670,6.67,22.7,1
670,6.37,22.7,1
670,6.4,22.7,1
672,5.4,22.7,1
670,6.3,22.7,1
672,6.57,22.7,1
672,6.37,22.7,1
672,6.4,22.7,1
672,6.27,22.7,1
672,6.67,22.7,1
672,6.4,22.7,1
672,6.5,22.7,1
672,6.3,22.7,1
672,6.07,22.7,1
672,5.6,22.7,1
754,4.6,22.7,1
754,6.33,22.7,1
754,5.2,22.7,1
754,6.2,22.7,1
754,6.8,22.7,1
754,6.37,22.7,1
754,6.2,22.7,1
754,6.7,22.7,1
754,6.3,22.7,1
754,6.23,22.7,1
754,6.43,22.7,1
754,6.63,22.7,1
754,6.13,22.7,1
754,6.53,22.7,1
754,6.27,22.7,1
754,6.3,22.6,1
754,5.2,22.6,1
754,6.5,22.7,1
750,5.93,22.7,1
753,6.03,22.6,1
754,6.27,22.6,1
753,6.5,22.7,1
754,4.7,22.6,1
754,6.34,22.6,1
754,6.9,22.6,1
754,5.8,22.6,1
754,6.29,22.6,1
750,6.34,22.6,1
753,5.8,22.6,1
753,6.51,22.6,1
754,6.76,22.6,1
754,6.56,22.6,1
748,6.59,22.6,1
750,6.49,22.6,1
750,6.75,22.6,1
753,6.51,22.6,1
753,6.61,22.6,1
753,6.53,22.6,1
754,6.11,22.6,1
754,6.85,22.6,1
754,5.94,22.6,1
754,6.22,22.6,1
754,5.2,22.6,1
754,6.65,22.6,1
754,6.67,22.6,1
754,6.65,22.6,1
754,6.77,22.6,1
752,5.5,22.6,1
750,6.48,22.6,1
752,6.57,22.6,1
753,6.37,22.7,1
753,5.5,22.7,1
753,6.91,22.6,1
754,6.68,22.6,1
754,6.56,22.7,1
754,6.33,22.6,1
754,6.59,22.6,1
754,6.44,22.6,1
756,6.64,22.6,1
748,5.77,22.6,1
749,6.54,22.6,1
749,5.6,22.6,1
749,6.66,22.6,1
750,6.16,22.6,1
750,6.32,22.6,1
751,6.42,22.6,1
753,6.67,22.6,1
753,6.73,22.6,1
754,6.37,22.6,1
754,6.68,22.6,1
754,6.64,22.6,1
754,6.38,22.6,1
1024,5.5,22.6,1
832,5.3,22.6,1
834,6.45,22.6,1
834,6.22,22.6,1
835,6.19,22.6,1
835,5.1,22.6,1
835,6.36,22.6,1
835,6.39,22.6,1
835,6.6,22.6,1
835,6.62,22.6,1
835,5.5,22.6,1
836,6.53,22.6,1
836,6.26,22.6,1
836,6.32,22.6,1
836,5.87,22.6,1
836,6.27,22.6,1
836,6.57,22.6,1
836,6.53,22.6,1
838,6.47,22.6,1
837,6.56,22.6,1
836,6.61,22.6,1
838,6.57,22.6,1
837,5.96,22.6,1
838,6.35,22.5,1
838,6.75,22.6,1
837,5.4,22.6,1
838,6.16,22.5,1
840,5.5,22.5,1
840,6.57,22.6,1
840,6.75,22.5,1
840,6.29,22.6,1
840,6.56,22.5,1
840,6.51,22.6,1
840,5.5,22.6,1
840,6.59,22.6,1
840,5.98,22.6,1
840,6.44,22.5,1
840,6.68,22.5,1
841,6.31,22.6,1
840,6.87,22.6,1
841,5.6,22.5,1
841,4.8,22.6,1
841,6.36,22.5,1
841,6.81,22.5,1
841,6.43,22.5,1
841,6.32,22.5,1
841,6.47,22.5,1
841,6.17,22.5,1
841,4.5,22.5,1
841,6.34,22.5,1
841,5.91,22.5,1
841,6.69,22.5,1
841,6.81,22.5,1
842,6.25,22.5,1
842,6.66,22.5,1
842,6.17,22.5,1
842,6.58,22.5,1
842,5.8,22.5,1
842,6.1,22.6,1
842,6.2,22.5,1
842,6,22.5,1
842,6,22.5,1
842,6.2,22.5,1
842,5.9,22.5,1
843,6.2,22.5,1
843,6.3,22.5,1
843,6.3,22.5,1
843,6.2,22.5,1
843,6.2,22.5,1
843,6.1,22.5,1
843,5.9,22.5,1
843,6.3,22.5,1
843,6.2,22.5,1
843,6.2,22.5,1
843,6.2,22.5,1
844,5.7,22.5,1
843,6.5,22.5,1
843,6.1,22.5,1
845,6.5,22.5,1
845,5.8,22.5,1
845,5.9,22.5,1
843,5.9,22.5,1
845,6.3,22.5,1
845,6.3,22.5,1
845,6.1,22.5,1
845,6,22.5,1
845,6,22.5,1
845,6.4,22.5,1
845,6.2,22.5,1
845,6.1,22.5,1
845,6.1,22.5,1
845,6.7,22.5,1
845,6.7,22.5,1
845,6.3,22.4,1
845,6.3,22.5,1
845,6.4,22.5,1
845,6.2,22.5,1
846,6.5,22.5,1
845,6.6,22.5,1
845,6.7,22.4,1
845,6.4,22.5,1
846,6,22.4,1
974,6.7,22.5,1
974,6.3,22.4,1
974,6.1,22.5,1
974,5.9,22.5,1
974,5.7,22.4,1
974,6.2,22.4,1
974,6.2,22.4,1
974,6.5,22.4,1
974,6.2,22.5,1
974,6.3,22.5,1
974,6.2,22.4,1
974,6.2,22.4,1
974,6.5,22.4,1
974,6.3,22.4,1
974,6.2,22.4,1
974,6.2,22.4,1
974,6.3,22.4,1
974,6.13,22.4,1
974,6.36,22.4,1
974,6.4,22.4,1
974,5.66,22.4,1
974,5.82,22.4,1
974,4.9,22.4,1
975,6.09,22.5,1
975,6.03,22.5,1
974,5.3,22.4,1
974,6.34,22.4,1
974,5.3,22.5,1
974,5.1,22.4,1
974,6.34,22.4,1
975,6.48,22.4,1
975,6.26,22.4,1
974,6.23,22.4,1
975,6.05,22.4,1
975,6.37,22.4,1
974,6.15,22.5,1
975,6.08,22.4,1
974,6.34,22.4,1
974,6.07,22.4,1
974,6.41,22.4,1
975,6.01,22.4,1
974,6.22,22.4,1
975,6.22,22.4,1
974,5.2,22.4,1
975,5.4,22.4,1
974,6.58,22.4,1
975,6.08,22.4,1
975,6.3,22.4,1
975,5.97,22.5,1
975,5.99,22.4,1
975,5.62,22.4,1
975,6.12,22.4,1
975,6.51,22.4,1
975,6.15,22.4,1
975,6.33,22.4,1
975,6.26,22.4,1
975,6.23,22.4,1
975,5.88,22.4,1
975,6.32,22.4,1
975,6.53,22.4,1
976,6.46,22.4,1
975,5.3,22.4,1
976,6.14,22.5,1
976,5.3,22.5,1
975,4.6,22.4,1
975,6.44,22.4,1
976,6.48,22.4,1
976,5.51,22.4,1
976,6.46,22.4,1
975,6.21,22.4,1
976,5.55,22.4,1
975,7.35,22.4,1
976,7.07,22.4,1
975,6.91,22.4,1
976,6.3,22.4,1
976,6.98,22.4,1
975,6.86,22.4,1
975,6.3,22.5,1
976,7.11,22.4,1
976,7.21,22.4,1
976,6.8,22.4,1
976,6.96,22.4,1
